system_number,accession_number,LocationString,Room
10195,1972.123.14,"Art Gallery (Kahn), Kahn, 200",200
92337,2002.138.1,"Art Gallery (Kahn), Kahn, 200",200
7474,1958.63.6,"Art Gallery (Kahn), Kahn, 200",200
50073,1951.51.14,"Art Gallery (Kahn), Kahn, 200",200
198147,2015.16.1,"Art Gallery (Kahn), Kahn, 200",200
235237,2017.154.2a-b,"Art Gallery (Kahn), Kahn, 200",200
229146,2018.49.1,"Art Gallery (Kahn), Kahn, 200",200
219793,ILE2017.4.3,"Art Gallery (Kahn), Kahn, 200",200
111795,2006.56.1,"Art Gallery (Kahn), Kahn, 200",200
109466,2005.110.8,"Art Gallery (Kahn), Kahn, 200",200
37570,1939.475,"Art Gallery (Kahn), Kahn, 200",200
37512,1939.476,"Art Gallery (Kahn), Kahn, 200",200
10453,1955.51.15,"Art Gallery (Kahn), Kahn, 200",200
229145,2019.31.1,"Art Gallery (Kahn), Kahn, 200",200
49627,1952.51.11a-b,"Art Gallery (Kahn), Kahn, 200",200
14869,1954.26.2,"Art Gallery (Kahn), Kahn, 200",200
57615,1988.46.1a-b,"Art Gallery (Kahn), Kahn, 200",200
198150,2015.16.2a-b,"Art Gallery (Kahn), Kahn, 200",200
220012,2017.52.1,"Art Gallery (Kahn), Kahn, 200",200
219520,2017.25.1,"Art Gallery (Kahn), Kahn, 200",200
285605,2019.66.1,"Art Gallery (Kahn), Kahn, 200",200
276967,2019.43.1,"Art Gallery (Kahn), Kahn, 200",200
52180,1953.27.19,"Art Gallery (Kahn), Kahn, 200",200
11940,1973.162.13,"Art Gallery (Kahn), Kahn, 200",200
291382,2020.38.1,"Art Gallery (Kahn), Kahn, 200",200
10374,1955.51.4,"Art Gallery (Kahn), Kahn, 200",200
83316,2001.68.1,"Art Gallery (Kahn), Kahn, 200",200
49521,1951.51.62.1-.2a-i,"Art Gallery (Kahn), Kahn, 200",200
292370,2020.8.1,"Art Gallery (Kahn), Kahn, 200",200
81544,2001.44.1,"Art Gallery (Kahn), Kahn, 200",200
217937,2017.54.6,"Art Gallery (Kahn), Kahn, 200",200
4136,1930.246,"Art Gallery (Kahn), Kahn, 200",200
211835,2021.55.3,"Art Gallery (Kahn), Kahn, 200",200
99020,2007.145.11,"Art Gallery (Kahn), Kahn, 200",200
230134,2018.53.1,"Art Gallery (Kahn), Kahn, 200",200
141520,2020.33.4,"Art Gallery (Kahn), Kahn, 200",200
46724,1947.78,"Art Gallery (Kahn), Kahn, 200",200
16419,1954.49.46,"Art Gallery (Kahn), Kahn, 200",200
